Russo Policy,DQN Policy,DQN-DE Policy,DQN Toggle Policy,DQN Factorized Policy
-51.03821617455687,-101.42354116318748,10.298388615017757,-92.44640905766282,-21.592635605856778
-51.03821617455687,23.25287742614746,32.966334237903354,-41.79959248979576,-33.83083413625136
-51.03821617455687,27.46031286348589,33.864260620623824,-28.467199055850507,39.75264354562387
-51.03821617455687,25.116812207736075,38.78546488247812,-30.15744860172272,14.828876123856752
-51.03821617455687,26.811540618538857,37.36585604175925,-28.816524633113296,3.2131512271123936
-51.03821617455687,28.39849065321032,37.52272968292236,22.66572544425726,13.688235541584437
-51.03821617455687,30.656683525722475,36.23842259310186,23.74448798149824,17.404261274042074
-51.03821617455687,30.703283617179842,39.610783249279486,21.784140676259995,22.113686854857956
-51.03821617455687,34.826744861807676,41.90222917124629,22.58665593452752,21.411767278285694
-51.03821617455687,36.93555676117539,42.95556857748888,24.262922866595908,26.317655013361943
